Country,Year,Country Code,child_obesity%,adult_obesity_Both sexes,adult_obesity_Male,adult_obesity_Female,percentage_pop_urban,Total Population - Both sexes,Total Population - Male,Total Population - Female,pop_undernourrish,adult_lsport_bothsex,adult_lsport_male,adult_lsport_female,child_lsport_bothsex,child_lsport_male,child_lsport_female,PIB/hab in $,Fat_supply_quantity(g_capita_day),Food_supply(kcal_capita_day),Protein_supply_quantity(g/capita/day),Fat_supply_kcal_capita_day,Percentage_supply_fat_capita_day,animal_tne,vegetal_tne,part_aliments_animaux,Continent,%Use_of_Mental_disorders_substance,Alcohol_kcal_day_capita,People per Mcdo,child_obesity_nb,adult_obesity_Both sexes_nb,adult_obesity_Male_nb,adult_obesity_Female_nb,Africa,Americas,Asia,Oceania,Europe,Kmeans
Namibia,2016,NAM,0.11525,0.172,0.075,0.254,0.47961,2358044,1216363,1141681,0.1272,0.334,0.289,0.374,0.874,0.865,0.884,4551.39956,52.4,2469,64.67,471.6,0.191008505467801,526,2094,0.2008,Africa,0.120752925268,156,,271765,405584,91227,289987,1,0,0,0,0,2
Nepal,2016,NPL,0.05444,0.041,0.027,0.054,0.18942,27263433,14839974,12423456,0.0587,0.134,0.12,0.146,0.835,0.818,0.853,723.958841,58.31,2825,72.8,524.79,0.185766371681416,3916,29459,0.1173,Asia,0.128516188914,7,,1484221,1117801,400679,670867,0,0,1,0,0,2
Netherlands,2016,NLD,0.1981,0.204,0.208,0.2,0.90635,16981295,8536309,8444976,0,0.272,0.253,0.29,0.802,0.766,0.839,46124.269188,130.04,3220,105.57,1170.36,0.363465838509317,15687,19586,0.4447,Europe,0.160304062169,141,69714,3363995,3464184,1775552,1688995,0,0,0,1,0,1
New Zealand,2016,NZL,0.3281,0.308,0.301,0.314,0.864,4659265,2368249,2291016,0,0.424,0.393,0.453,0.887,0.849,0.927,40384.125487,116.45,3148,90.96,1048.05,0.332925667090216,2583,4929,0.3438,Oceania,0.18703793272,97,28880,1528705,1435054,712843,719379,0,0,0,0,1,1
Norway,2016,NOR,0.26503,0.231,0.236,0.225,0.81485,5250949,2604692,2646258,0,0.317,0.296,0.338,0.835,0.786,0.886,70188.659804,143.87,3374,110.06,1294.83,0.383767042086544,4167,5482,0.4319,Europe,0.160763444662,119,72027,1391659,1212969,614707,595408,0,0,0,1,0,1
Oman,2016,OMN,0.46626,0.27,0.229,0.337,0.825,4479219,1539787,2939430,0.0893,0.329,0.3,0.402,0.838,0.783,0.898,15955.214378,81.31,2928,83.94,731.79,0.249928278688525,1739,4115,0.2971,Asia,0.136186103633,4,201565,2088481,1209389,352611,990588,0,0,1,0,0,1
Pakistan,2016,PAK,0.06247,0.086,0.06,0.113,0.36234,203631353,98833941,104797415,0.1208,0.337,0.244,0.433,0.869,0.854,0.886,1436.418398,72.5,2314,64.62,652.5,0.281979256698358,75903,103919,0.4221,Asia,0.119887422651,0,1858491,12720851,17512296,5930036,11842108,0,0,1,0,0,2
Paraguay,2016,PRY,0.27694,0.203,0.171,0.234,0.61026,6777872,3329476,3448402,0.0885,0.374,0.381,0.368,0.835,0.79,0.882,5361.008119,89.69,2687,69.47,807.21,0.300413100111649,2171,6098,0.2625,Americas,0.141911406869,98,358474,1877064,1375908,569340,806926,0,1,0,0,0,0
Philippines,2016,PHL,0.09905,0.064,0.052,0.075,0.46475,103663816,51520471,52143341,0.1524,0.397,0.301,0.491,0.934,0.928,0.941,2950.99852,53.05,2627,60.64,477.45,0.181747240197944,17809,82211,0.1781,Asia,0.108414200606,55,163173,10267901,6634484,2679064,3910751,0,0,1,0,0,2
Poland,2016,POL,0.22682,0.231,0.237,0.222,0.60178,37989220,19572973,18416245,0,0.325,0.315,0.334,0.788,0.737,0.842,12349.154018,127.43,3482,100.75,1146.87,0.329371051120046,24147,46882,0.34,Europe,0.109894339282,199,86894,8616715,8775510,4638795,4088406,0,0,0,1,0,0
