"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Bahamas"," 2006","84.6 [82.3-86.7]","81.2 [78.5-83.5]","88.2 [86.2-89.9]"
"Bahamas"," 2005","84.7 [82.3-86.7]","81.2 [78.6-83.6]","88.1 [86.2-89.9]"
"Bahamas"," 2004","84.7 [82.3-86.8]","81.3 [78.6-83.7]","88.1 [86.1-89.9]"
"Bahamas"," 2003","84.7 [82.3-86.8]","81.3 [78.6-83.8]","88.1 [86.1-89.9]"
"Bahamas"," 2002","84.7 [82.3-86.9]","81.4 [78.6-83.8]","88.1 [86.0-89.9]"
"Bahamas"," 2001","84.8 [82.3-86.9]","81.4 [78.6-83.9]","88.1 [86.0-89.9]"
"Bahrain"," 2016","81.0 [77.9-83.7]","75.0 [71.3-78.4]","87.4 [85.0-89.5]"
"Bahrain"," 2015","81.1 [78.1-83.8]","75.2 [71.5-78.5]","87.4 [85.1-89.5]"
"Bahrain"," 2014","81.1 [78.1-83.8]","75.4 [71.8-78.7]","87.4 [85.1-89.5]"
"Bahrain"," 2013","81.1 [78.1-83.8]","75.6 [72.0-78.8]","87.5 [85.1-89.5]"
"Bahrain"," 2012","81.2 [78.2-83.9]","75.8 [72.2-79.0]","87.5 [85.1-89.5]"
"Bahrain"," 2011","81.4 [78.4-84.0]","75.9 [72.4-79.1]","87.5 [85.2-89.5]"
"Bahrain"," 2010","81.7 [78.7-84.3]","76.1 [72.6-79.3]","87.5 [85.2-89.5]"
"Bahrain"," 2009","81.7 [78.8-84.3]","76.3 [72.8-79.5]","87.5 [85.2-89.5]"
"Bahrain"," 2008","81.8 [78.9-84.4]","76.5 [73.0-79.6]","87.5 [85.2-89.5]"
"Bahrain"," 2007","81.9 [79.0-84.5]","76.7 [73.2-79.8]","87.5 [85.2-89.5]"
"Bahrain"," 2006","82.0 [79.1-84.6]","76.9 [73.4-80.0]","87.5 [85.2-89.5]"
"Bahrain"," 2005","82.2 [79.2-84.8]","77.0 [73.5-80.2]","87.5 [85.2-89.6]"
"Bahrain"," 2004","82.2 [79.2-84.8]","77.2 [73.7-80.4]","87.5 [85.1-89.6]"
"Bahrain"," 2003","82.2 [79.2-84.9]","77.4 [73.9-80.6]","87.6 [85.1-89.6]"
"Bahrain"," 2002","82.3 [79.2-85.0]","77.6 [74.0-80.8]","87.6 [85.1-89.7]"
"Bahrain"," 2001","82.4 [79.3-85.1]","77.7 [74.1-81.0]","87.6 [85.1-89.7]"
"Bangladesh"," 2016","66.1 [58.1-73.3]","63.2 [55.0-70.6]","69.2 [61.3-76.1]"
"Bangladesh"," 2015","66.5 [58.5-73.7]","63.9 [55.7-71.2]","69.3 [61.4-76.2]"
"Bangladesh"," 2014","66.9 [58.9-74.0]","64.5 [56.5-71.8]","69.4 [61.5-76.3]"
"Bangladesh"," 2013","67.3 [59.4-74.4]","65.2 [57.2-72.4]","69.5 [61.6-76.4]"
"Bangladesh"," 2012","67.7 [59.8-74.7]","65.9 [58.0-73.0]","69.6 [61.7-76.4]"
"Bangladesh"," 2011","68.1 [60.2-75.0]","66.5 [58.7-73.6]","69.7 [61.8-76.5]"
"Bangladesh"," 2010","68.5 [60.6-75.4]","67.2 [59.4-74.2]","69.8 [61.9-76.6]"
"Bangladesh"," 2009","68.8 [61.0-75.7]","67.9 [60.1-74.7]","69.9 [62.0-76.7]"
"Bangladesh"," 2008","69.2 [61.4-76.0]","68.5 [60.8-75.3]","70.0 [62.1-76.8]"
"Bangladesh"," 2007","69.6 [61.8-76.4]","69.1 [61.5-75.9]","70.1 [62.2-76.9]"
"Bangladesh"," 2006","70.0 [62.2-76.7]","69.8 [62.1-76.4]","70.1 [62.3-77.0]"
"Bangladesh"," 2005","70.3 [62.6-77.0]","70.4 [62.8-77.0]","70.2 [62.3-77.1]"
"Bangladesh"," 2004","70.7 [63.0-77.4]","71.0 [63.5-77.5]","70.3 [62.4-77.2]"
"Bangladesh"," 2003","71.0 [63.3-77.7]","71.6 [64.1-78.1]","70.4 [62.5-77.3]"
"Bangladesh"," 2002","71.4 [63.7-78.0]","72.2 [64.8-78.6]","70.5 [62.6-77.4]"
"Bangladesh"," 2001","71.7 [64.0-78.3]","72.8 [65.4-79.1]","70.6 [62.6-77.5]"
"Barbados"," 2016","81.8 [78.9-84.3]","76.9 [73.5-79.9]","86.9 [84.6-89.0]"
"Barbados"," 2015","81.9 [79.0-84.4]","77.0 [73.7-80.1]","86.9 [84.6-88.9]"
"Barbados"," 2014","82.0 [79.2-84.5]","77.2 [74.0-80.2]","86.9 [84.6-88.9]"
"Barbados"," 2013","82.1 [79.3-84.5]","77.4 [74.2-80.3]","86.9 [84.6-88.9]"
"Barbados"," 2012","82.2 [79.5-84.6]","77.6 [74.5-80.5]","86.9 [84.7-88.9]"
"Barbados"," 2011","82.3 [79.6-84.7]","77.8 [74.7-80.6]","86.9 [84.7-88.8]"
"Barbados"," 2010","82.4 [79.8-84.8]","78.0 [74.9-80.8]","86.9 [84.7-88.8]"
"Barbados"," 2009","82.5 [79.9-84.8]","78.2 [75.2-80.9]","86.9 [84.7-88.8]"
"Barbados"," 2008","82.6 [80.0-84.9]","78.4 [75.4-81.1]","86.9 [84.7-88.8]"
"Barbados"," 2007","82.7 [80.1-85.0]","78.6 [75.6-81.3]","86.9 [84.7-88.8]"
"Barbados"," 2006","82.8 [80.2-85.1]","78.7 [75.8-81.4]","86.9 [84.7-88.8]"
"Barbados"," 2005","82.9 [80.3-85.2]","78.9 [76.0-81.6]","86.9 [84.7-88.8]"
"Barbados"," 2004","83.0 [80.4-85.3]","79.1 [76.1-81.8]","86.9 [84.6-88.8]"
"Barbados"," 2003","83.0 [80.4-85.4]","79.3 [76.3-82.0]","86.9 [84.6-88.8]"
"Barbados"," 2002","83.1 [80.5-85.5]","79.5 [76.5-82.2]","86.9 [84.6-88.9]"
"Barbados"," 2001","83.2 [80.5-85.6]","79.6 [76.6-82.4]","86.9 [84.6-88.9]"
"Belarus"," 2010","No data","No data","No data"
"Belgium"," 2016","83.5 [81.1-85.7]","79.2 [76.4-81.8]","88.0 [86.0-89.7]"
"Belgium"," 2015","83.5 [81.1-85.6]","79.2 [76.4-81.7]","88.0 [86.0-89.7]"
"Belgium"," 2014","83.5 [81.2-85.6]","79.2 [76.5-81.7]","88.0 [86.1-89.6]"
"Belgium"," 2013","83.5 [81.2-85.6]","79.2 [76.6-81.7]","88.0 [86.1-89.6]"
"Belgium"," 2012","83.5 [81.3-85.5]","79.2 [76.7-81.6]","88.0 [86.1-89.6]"
"Belgium"," 2011","83.5 [81.3-85.5]","79.2 [76.7-81.6]","88.0 [86.1-89.6]"
"Belgium"," 2010","83.5 [81.3-85.5]","79.3 [76.8-81.5]","88.0 [86.1-89.6]"
"Belgium"," 2009","83.5 [81.4-85.5]","79.3 [76.8-81.5]","88.0 [86.1-89.6]"
"Belgium"," 2008","83.5 [81.4-85.4]","79.3 [76.8-81.5]","88.0 [86.2-89.6]"
"Belgium"," 2007","83.5 [81.4-85.4]","79.3 [76.9-81.5]","88.0 [86.2-89.6]"
